Event Number,CAR,(CAR_j - CARbar)^2,,,,,,,,Statistics,
287,0.095395625,0.0115,,,,,,,,,
288,0.011733481,0.0006,,,,,,,,,
289,-0.127306658,0.0133,,,,,,,,,
290,-0.105023583,0.0087,,,,,,,,,
291,0.082886207,0.0090,,,,,,,,,
292,0.05258389,0.0042,,,,,,,,,
293,-0.220684934,0.0435,,,,,,,,,
294,0.065666517,0.0060,,,,,,,,,
295,-0.157536898,0.0212,,,,,,,,,
296,0.038068582,0.0025,,,,,,,,,
297,-0.020788458,0.0001,,,,,,,,,
298,0.07245112,0.0071,,,,,,,,,
299,0.132626473,0.0209,,,,,,,,,
300,0.072688953,0.0072,,,,,,,,,
301,0.194196535,0.0425,,,,,,,,,
302,-0.03572759,0.0006,,,,,,,,,
303,0.018609829,0.0009,,,,,,,,,
304,-0.107619054,0.0091,,,,,,,,,
305,-0.085185458,0.0054,,,,,,,,,
306,0.097343535,0.0120,,,,,,,,,
307,-0.034051164,0.0005,,,,,,,,,
308,-0.044926788,0.0011,,,,,,,,,
309,0.017453407,0.0009,,,,,,,,,
310,-0.071823844,0.0036,,,,,,,,,
311,-0.018575203,0.0000,,,,,,,,,
312,0.101927388,0.0130,,,,,,,,,
313,-0.038707777,0.0007,,,,,,,,,
314,0.009150175,0.0004,,,,,,,,,
315,0.017034926,0.0008,,,,,,,,,
316,-0.018641709,0.0000,,,,,,,,,
317,-0.032230924,0.0004,,,,,,,,,
318,0.167690222,0.0323,,,,,,,,,
319,-0.091032599,0.0062,,,,,,,,,
320,-0.097980456,0.0074,,,,,,,,,
321,-0.203010724,0.0365,,,,,,,,,
322,-0.00864136,0.0000,,,,,,,,,
323,0.027262648,0.0015,,,,,,,,,
324,0.126235908,0.0191,,,,,,,,,
325,-0.041663294,0.0009,,,,,,,,,
326,0.016379862,0.0008,,,,,,,,,
327,-0.025851956,0.0002,,,,,,,,,
328,-0.121738732,0.0120,,,,,,,,,
329,0.024057021,0.0013,,,,,,,,,
330,-0.021192501,0.0001,,,,,,,,,
331,0.073886075,0.0074,,,,,,,,,
332,-0.066734425,0.0030,,,,,,,,,
333,0.044815896,0.0032,,,,,,,,,
334,-0.008822009,0.0000,,,,,,,,,
335,-2.33E-05,0.0001,,,,,,,,,
336,-0.113881152,0.0104,,,,,,,,,
337,0.085280907,0.0095,,,,,,,,,
338,0.172082627,0.0339,,,,,,,,,
339,-0.002355842,0.0001,,,,,,,,,
340,0.0895644,0.0103,,,,,,,,,
341,-0.030579282,0.0003,,,,,,,,,
342,0.090173988,0.0104,,,,,,,,,
343,-0.01016681,0.0000,,,,,,,,,
344,-0.027512125,0.0002,,,,,,,,,
345,0.095592076,0.0116,,,,,,,,,
346,0.12293035,0.0182,,,,,,,,,
347,-0.047367531,0.0012,,,,,,,,,
348,0.044624561,0.0032,,,,,,,,,
349,0.025760163,0.0014,,,,,,,,,
350,0.053845359,0.0043,,,,,,,,,
351,0.152867732,0.0272,,,,,,,,,
352,-0.054248541,0.0018,,,,,,,,,
353,-0.081659347,0.0049,,,,,,,,,
354,-0.04712606,0.0012,,,,,,,,,
355,0.201697138,0.0457,,,,,,,,,
356,0.075498382,0.0077,,,,,,,,,
357,0.110130576,0.0149,,,,,,,,,
358,-0.070604325,0.0034,,,,,,,,,
359,-0.013500449,0.0000,,,,,,,,,
360,0.148568551,0.0258,,,,,,,,,
361,0.097327619,0.0120,,,,,,,,,
362,0.08248512,0.0089,,,,,,,,,
363,0.045922524,0.0034,,,,,,,,,
364,-0.146813728,0.0182,,,,,,,,,
365,0.067364998,0.0063,,,,,,,,,
366,-0.142534101,0.0170,,,,,,,,,
367,-0.041685918,0.0009,,,,,,,,,
368,-0.113566695,0.0103,,,,,,,,,
369,-0.003219749,0.0001,,,,,,,,,
370,-0.08982479,0.0061,,,,,,,,,
371,-0.097147587,0.0072,,,,,,,,,
372,-0.15413175,0.0202,,,,,,,,,
373,-0.222272912,0.0442,,,,,,,,,
374,0.028342901,0.0016,,,,,,,,,
375,0.004939556,0.0003,,,,,,,,,
376,0.138055247,0.0225,,,,,,,,,
377,0.165779374,0.0316,,,,,,,,,
378,0.053959501,0.0044,,,,,,,,,
379,-0.16665049,0.0239,,,,,,,,,
380,-0.00827995,0.0000,,,,,,,,,
381,0.094726009,0.0114,,,,,,,,,
382,0.000794647,0.0002,,,,,,,,,
383,-0.009990368,0.0000,,,,,,,,,
384,-0.074655101,0.0039,,,,,,,,,
385,-0.121456334,0.0120,,,,,,,,,
386,-0.122041594,0.0121,,,,,,,,,
387,-0.03459959,0.0005,,,,,,,,,
388,-0.032857453,0.0004,,,,,,,,,
389,0.055441068,0.0046,,,,,,,,,
390,-0.172087904,0.0256,,,,,,,,,
391,-0.120794904,0.0118,,,,,,,,,
392,0.093268544,0.0111,,,,,,,,,
393,-0.0331901,0.0004,,,,,,,,,
394,0.109523488,0.0148,,,,,,,,,
395,-0.120315827,0.0117,,,,,,,,,
396,0.099775751,0.0125,,,,,,,,,
397,0.147182026,0.0253,,,,,,,,,
398,-0.04543008,0.0011,,,,,,,,,
399,0.006921572,0.0004,,,,,,,,,
400,-0.021584266,0.0001,,,,,,,,,
401,0.018869831,0.0010,,,,,,,,,
402,0.055615236,0.0046,,,,,,,,,
403,-0.066991357,0.0030,,,,,,,,,
404,0.077162985,0.0080,,,,,,,,,
405,0.064875939,0.0059,,,,,,,,,
406,-0.169724127,0.0249,,,,,,,,,
407,0.038304255,0.0025,,,,,,,,,
408,-0.056935188,0.0020,,,,,,,,,
409,0.046022796,0.0034,,,,,,,,,
410,0.049938966,0.0038,,,,,,,,,
411,0.057516421,0.0048,,,,,,,,,
412,-0.045865046,0.0011,,,,,,,,,
413,0.134738774,0.0215,,,,,,,,,
414,-0.136406153,0.0155,,,,,,,,,
415,-0.155038516,0.0205,,,,,,,,,
416,0.040329927,0.0027,,,,,,,,,
417,0.064090135,0.0058,,,,,,,,,
418,-0.203229002,0.0366,,,,,,,,,
419,-0.133423465,0.0147,,,,,,,,,
420,-0.101043407,0.0079,,,,,,,,,
421,0.060977162,0.0053,,,,,,,,,
422,-0.1344446,0.0150,,,,,,,,,
423,-0.084051204,0.0052,,,,,,,,,
424,0.04438093,0.0032,,,,,,,,,
425,0.073600721,0.0073,,,,,,,,,
426,-0.112438239,0.0101,,,,,,,,,
427,-0.030595994,0.0003,,,,,,,,,
428,0.053096391,0.0042,,,,,,,,,
429,0.034220283,0.0021,,,,,,,,,
430,0.072918373,0.0072,,,,,,,,,
431,0.017902015,0.0009,,,,,,,,,
432,0.187755494,0.0399,,,,,,,,,
433,-0.027913894,0.0003,,,,,,,,,
434,-0.092061465,0.0064,,,,,,,,,
